"ID","Name","Description","Points","X","Y","Location","Strategy","Action","Approach Angle"
"0.0","Equipment Inspection","All equipment fits in one launch area under 305mm height","20.0","0.0","0.0","A1 (Home)","Compact Design","N/A","N/A"
"01a","Surface Brushing","Soil deposit 1 cleared to mat","10.0","80.0","80.0","D-E 4-5","Push/sweep first soil deposit off dig site onto mat","Push","Lateral outward"
"01b","Surface Brushing","Soil deposit 2 cleared to mat","10.0","80.0","80.0","D-E 4-5","Push/sweep second soil deposit off dig site onto mat","Push","Lateral outward"
"01c","Surface Brushing","Brush NOT touching dig site","10.0","80.0","80.0","D-E 4-5","Knock brush piece off the dig site model entirely","Push","Outward from dig site"
"02a","Map Reveal","Topsoil section 1 cleared","10.0","60.0","90.0","C-D 5","Shift/push topsoil piece off map section to reveal map","Push","Lateral slide"
"02b","Map Reveal","Topsoil section 2 cleared","10.0","60.0","90.0","C-D 5","Shift/push second topsoil piece off map section","Push","Lateral slide"
"03a","Mineshaft Explorer","Your minecart through to opposing field","30.0","40.0","60.0","B-C 3-4","Push minecart through mineshaft tunnel to opposing side","Push","Forward through tunnel"
"03b","Mineshaft Explorer","Opposing minecart on your field (bonus)","10.0","40.0","60.0","B-C 3-4","Cooperative - opposing team pushes their cart to your side","Cooperative Push","Received from opposing side"
"04a","Careful Recovery","Precious artifact NOT touching mine","30.0","100.0","80.0","E-F 4-5","Extract/lift precious artifact out of mine without collapsing supports","Pull / Lift","Upward out of mine"
"04b","Careful Recovery","Both support structures standing","10.0","100.0","80.0","E-F 4-5","Supports must remain upright during and after extraction","No Action (Precision)","Avoid contact"
"05a","Who Lived Here?","Structure floor completely upright","30.0","120.0","100.0","F-G 5-6","Push or rotate collapsed floor piece to fully upright position","Rotational Push","Pivot 90 degrees upward"
"06a","Forge","Ore block 1 NOT touching forge","10.0","140.0","80.0","G-H 4-5","Push/knock first ore block away from forge model","Push","Outward from forge"
"06b","Forge","Ore block 2 NOT touching forge","10.0","140.0","80.0","G-H 4-5","Push/knock second ore block away from forge model","Push","Outward from forge"
"06c","Forge","Ore block 3 NOT touching forge (contains fossil)","10.0","140.0","80.0","G-H 4-5","Push/knock third ore block away; can open by hand once in home","Push","Outward from forge"
"07a","Heavy Lifting","Millstone no longer touching base","30.0","155.0","75.0","H 4","Lift or push heavy millstone piece completely off its base pedestal","Lift / Push","Upward or lateral off base"
"08a","Silo","Preserved piece 1 outside silo","10.0","165.0","60.0","H-I 3-4","Push or pull preserved food piece out of silo enclosure","Push / Pull","Outward from silo opening"
"08b","Silo","Preserved piece 2 outside silo","10.0","165.0","60.0","H-I 3-4","Push or pull second preserved food piece out of silo","Push / Pull","Outward from silo opening"
"08c","Silo","Preserved piece 3 outside silo","10.0","165.0","60.0","H-I 3-4","Push or pull third preserved food piece out of silo","Push / Pull","Outward from silo opening"
"09a","What's on Sale?","Roof completely raised","20.0","120.0","45.0","F-G 2-3","Push or lift market roof piece upward so fully raised","Push Upward / Lift","Vertical upward"
"09b","What's on Sale?","Market wares raised","10.0","120.0","45.0","F-G 2-3","Push wares up likely linked to roof mechanism","Push Upward","Vertical upward"
"10a","Tip the Scales","Scale tipped AND touching mat","20.0","100.0","45.0","E-F 2-3","Push down on one side of balance so it tips and contacts mat","Push Down","Downward rotational tilt"
"10b","Tip the Scales","Scale pan completely removed","10.0","100.0","45.0","E-F 2-3","Separate and remove scale pan piece from scale assembly","Pull / Push Off","Detach laterally"
"11a","Angler Artifacts","Artifacts raised above ground layer","20.0","185.0","40.0","I-J 2-3","Engage crane gear mechanism to lift artifacts above ground line","Rotational","Turn gear CW or CCW"
"11b","Angler Artifacts","Crane flag at least partly lowered (bonus)","10.0","185.0","40.0","I-J 2-3","Continue rotating or engage linked mechanism to lower flag","Rotational","Continue gear rotation"
"12a","Salvage Operation","Sand completely cleared (activator past line)","20.0","185.0","80.0","I-J 4-5","Pull activator tab/lever past marked line on mat to clear sand","Pull","Pull toward home / laterally past line"
"12b","Salvage Operation","Ship completely raised","10.0","185.0","80.0","I-J 4-5","Push or lift ship model so fully raised after sand cleared","Push Upward / Lift","Vertical upward"
"13a","Forum","Brush (from M01) in forum","5.0","75.0","40.0","D-E 2-3","Collect brush from dig site then transport and place in forum","Carry and Place","Transport to forum"
"13b","Forum","Topsoil (from M02) in forum","5.0","75.0","40.0","D-E 2-3","Collect topsoil then transport and place in forum","Carry and Place","Transport to forum"
"13c","Forum","Precious Artifact (from M04) in forum","5.0","75.0","40.0","D-E 2-3","Collect artifact from mine then transport and place in forum","Carry and Place","Transport to forum"
"13d","Forum","Opposing Minecart (from M03) in forum","5.0","75.0","40.0","D-E 2-3","Collect opposing minecart then transport and place in forum","Carry and Place","Transport to forum"
"13e","Forum","Ore with Fossil (from M06) in forum","5.0","75.0","40.0","D-E 2-3","Collect ore block with fossil then transport and place in forum","Carry and Place","Transport to forum"
"13f","Forum","Millstone (from M07) in forum","5.0","75.0","40.0","D-E 2-3","Collect millstone then transport and place in forum heavy piece","Carry and Place","Transport to forum"
"13g","Forum","Scale Pan (from M10) in forum","5.0","75.0","40.0","D-E 2-3","Collect scale pan then transport and place in forum","Carry and Place","Transport to forum"
"14a","Statue Rebuild","Statue completely raised","30.0","55.0","40.0","C-D 2-3","Lift or push statue piece into fully raised upright position","Push Upward / Rotational Pivot","Raise 90 degrees to upright"
"15a","Site Marking","Flag in site 1","10.0","Varies","Varies","Varies","Transport flag from home and place into marked site on mat","Carry and Place","Push into site"
"15b","Site Marking","Flag in site 2","10.0","Varies","Varies","Varies","Transport flag from home and place into marked site on mat","Carry and Place","Push into site"
"15c","Site Marking","Flag in site 3","10.0","Varies","Varies","Varies","Transport flag from home and place into marked site on mat","Carry and Place","Push into site"
"15d","Site Marking","Flag in site 4","10.0","Varies","Varies","Varies","Transport flag from home and place into marked site on mat","Carry and Place","Push into site"
"PT6","Precision Tokens","6 tokens remaining","50.0","0.0","0.0","Home","Lose no precision tokens across all runs","Clean Runs","N/A"
"PT5","Precision Tokens","5 tokens remaining","50.0","0.0","0.0","Home","Lose 1 precision token","Clean Runs","N/A"
"PT4","Precision Tokens","4 tokens remaining","35.0","0.0","0.0","Home","Lose 2 precision tokens","Clean Runs","N/A"
"PT3","Precision Tokens","3 tokens remaining","25.0","0.0","0.0","Home","Lose 3 precision tokens","Clean Runs","N/A"
"PT2","Precision Tokens","2 tokens remaining","15.0","0.0","0.0","Home","Lose 4 precision tokens","Clean Runs","N/A"
"PT1","Precision Tokens","1 token remaining","10.0","0.0","0.0","Home","Lose 5 precision tokens","Clean Runs","N/A"
"PT0","Precision Tokens","0 tokens remaining","0.0","0.0","0.0","Home","All precision tokens lost","Clean Runs","N/A"
